Name,Flux,Error_flux
Hgamma,0.03557519339624025,0.05767010678484488
Hbeta,0.2551744501280124,0.08609082802100403
Halpha,1.0343068435530258,0.06847023688488629
[SII]6716,0.5569089357153045,0.04068719607142425
[SII]6731,0.4009405968922435,0.07717270040487005
HeII4687,0.03538113563849268,0.03189454570469816
HeI5876,0.1694688254586974,0.05212680873774973
[OIII]4959,0.11969445557707922,0.10690765109420092
[OIII]5007,0.35908336673123764,0.10690765109420092
[OI]6300,0.05996565480085946,0.027132454744842095
[OI]6364,0.019988551600286487,0.027132454744842095
[NII]6548,0.12884318666842728,0.05841578812282965
[NII]6583,0.3865295600052818,0.05841578812282965
