,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.6748,3.4588,4.9670,14.6276,2.9103,1.0170
r_e error,3.7339,3.1501,1.0343,8.0103,2.0424,5.5206
n error,0.4431,2.6149,0.1950,1.0559,0.4674,0.7234
x_0 error,0.0562,0.0007,0.6633,0.3089,0.1699,0.2066
