,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.5061,1.2677,3.5332,2.3129,0.5438,0.4555
r_e error,5.5045,3.3811,3.2377,4.7926,110.0327,2.4378
n error,0.5524,0.8264,0.2165,0.5698,1.8798,0.5545
x_0 error,0.0363,0.0168,7.0032,0.0983,0.0308,0.4038
