,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.2479,2.2521,1.6236,1.1697,1.3796,0.3309
r_e error,21.9464,1.1953,0.8557,44.7074,6.0891,1516.2614
n error,0.8549,0.5904,0.0949,1.7681,1.3858,10.6421
x_0 error,0.0447,0.0147,1.9688,0.0978,0.1101,0.0866
