,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.071,0.751,0.117,0.166,0.100,0.054
Continuum_2,0.056,0.439,0.099,0.163,0.087,0.052
Continuum_3,0.064,1.795,0.092,0.116,0.083,0.041
