,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.528,12.003,1.801,3.442,1.117,0.178
Continuum_2,0.460,13.816,1.694,3.459,1.253,0.199
Continuum_3,0.366,11.170,1.573,3.346,1.258,0.172
