,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,67.795,11.659,11.766,3.511,0.571
Green,20.990,70.576,29.345,2.217,0.235
Purple,0.001,8.554,35.321,0.000,0.000
Orange,11.179,9.165,23.381,89.660,8.541
Chocolate,0.034,0.047,0.188,4.612,90.653
