,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,8.748,0.004,0.000,0.000,0.000
Green,0.499,33.629,0.147,0.000,0.000
Purple,72.633,52.377,75.120,17.416,12.470
Orange,3.920,3.468,7.553,59.595,7.544
Chocolate,14.200,10.522,17.180,22.989,79.986
