,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,6.038,0.006,0.000,0.000,0.000
Green,0.825,29.999,0.297,0.000,0.000
Purple,74.564,55.222,74.540,18.942,13.755
Orange,4.001,3.673,7.732,53.767,9.198
Chocolate,14.572,11.100,17.429,27.291,77.048
