,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,43.567,5.345,4.122,0.968,0.186
Green,2.090,51.399,6.363,0.000,0.000
Purple,51.679,40.543,81.827,27.813,5.683
Orange,2.660,2.701,7.611,65.395,4.061
Chocolate,0.004,0.012,0.077,5.824,90.070
