L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
1.87e+38,3.66e+37,1.98e+39,1.19e+39,3.04e+40,1.82e+40
1.32e+38,2.34e+37,1.39e+39,8.48e+38,2.13e+40,1.3e+40
9.17e+37,1.28e+37,9.59e+38,5.94e+38,nan,nan
