Name,Flux,Error flux
Hgamma,2.0025843722359715,0.1770956143450185
Hbeta,5.488324448305729,0.43399903090892084
Halpha,23.906976094888897,0.40208749814113814
[SII]6716,2.7539220551954884,0.12565676431403688
[SII]6731,2.346869907435467,0.11162910533811872
HeII4687,0.12595323165951838,0.012660187016080005
HeI5876,0.7305865667643644,0.053253128708289445
[OIII]5007_d,7.335315328284975,0.29042220195950025
[OI]6300_d,0.3306549263047161,0.02843325531301023
[NII]6583_d,7.576845182164395,0.17602828869710083
