,Component 1,Component 2,Component 3,Component 4
I_e error,0.3120,3.2805,0.1366,0.0145
r_e error,1.1310,15.3995,1.9155,15.0691
n error,1.1981,2.0390,0.2755,0.2608
x_0 error,0.7199,0.6982,0.0864,0.4490
