,Component 1,Component 2,Component 3,Component 4
I_e error,0.0000,2.5626,0.4238,0.2530
r_e error,0.0000,14.3782,6.1145,9.4408
n error,0.0000,1.0199,0.3658,0.2039
x_0 error,0.0000,1.5268,0.7436,1.2931
