,Component 1,Component 2,Component 3,Component 4
I_e,0.8129,0.0518,0.0174,0.0618
r_e,0.0317,0.0512,49.2129,30.7640
n,0.7805,1.9805,2.5003,1.0691
x_0,15.6962,19.7886,32.8225,68.6303
