,Component 1,Component 2,Component 3,Component 4
I_e,0.1795,0.1210,0.0760,0.0503
r_e,1.3758,2.2729,24.2648,35.0738
n,0.1670,0.1260,2.8578,1.3052
x_0,16.1225,21.1687,33.4771,68.6303
