,Component 1,Component 2,Component 3,Component 4
I_e,0.0617,0.0336,0.0206,0.0491
r_e,1.5065,1.0217,49.3871,41.4465
n,0.1137,0.1514,2.5470,1.2652
x_0,16.7128,19.9965,32.5844,68.6303
