,Component 1,Component 2,Component 3,Component 4
I_e error,13619.7897,3680.4892,0.8611,0.7516
r_e error,4101.2288,601.9383,6.8024,10.5473
n error,94758377.9283,1475103.6142,0.0613,0.3643
x_0 error,76422.7318,767542.1765,4.4748,3.2955
