,Component 1,Component 2,Component 3,Component 4
I_e error,0.4172,0.2248,0.0612,0.0149
r_e error,7.2049,14.5363,12.3989,8.8805
n error,5.0305,2.6758,0.9730,0.2018
x_0 error,3.3956,4.9029,0.0011,0.5733
