,Component 1,Component 2,Component 3,Component 4
I_e,0.2784,0.3255,0.2949,0.0062
r_e,2.3475,1.2793,15.6642,172.7344
n,0.5912,0.0687,3.0052,3.5431
x_0,15.7128,20.4228,33.0262,70.0193
