,Component 1,Component 2,Component 3,Component 4
I_e error,0.2437,123.8429,0.1199,0.0123
r_e error,0.9289,135.6619,3.9151,254.7289
n error,0.7107,33.3071,0.4559,1.7026
x_0 error,0.9065,1.0092,0.1076,0.0008
