,Component 1,Component 2,Component 3,Component 4
I_e error,0.0000,3733.5616,0.3866,0.2393
r_e error,0.0054,15202.7824,2.5818,11.4620
n error,0.0107,4306802.0753,0.2076,0.2154
x_0 error,0.0151,382.3532,1.5251,1.3189
