,Component 1,Component 2,Component 3,Component 4
I_e,0.0026,-0.0016,2.0530,1.8599
r_e,0.0008,0.0002,26.6451,23.9157
n,19.6519,-3.7311,0.1000,0.6963
x_0,17.1895,20.1287,35.0000,69.0000
