,Component 1,Component 2,Component 3,Component 4
I_e,0.2350,0.5682,0.4941,0.0379
r_e,2.2070,2.2131,11.6592,49.9835
n,0.9565,0.1000,2.7463,1.6878
x_0,15.9400,21.4228,33.4626,68.6303
