,Component 1,Component 2,Component 3,Component 4
I_e error,585669.0098,71804.3020,0.0266,0.0168
r_e error,6388.3929,16315.4898,56.6332,7.7415
n error,1678528.4990,980234.1525,1.3168,0.1879
x_0 error,591.5117,98.6684,0.0038,0.7886
