,Component 1,Component 2,Component 3,Component 4
I_e error,1.4170,0.3485,0.0299,0.0158
r_e error,88.2115,157.3675,53.9065,12.7489
n error,14.7702,84.5152,1.2561,0.2200
x_0 error,34.4662,65.5503,0.0035,0.6857
