,SNR,Signal,Noise
Component_1,9.984,0.124,0.012
Component_2,14.397,0.225,0.016
Component_3,20.517,0.331,0.016
Component_4,18.344,0.895,0.049
Component_5,5.803,0.202,0.035
Component_6,12.748,0.337,0.026
Component_7,29.540,0.578,0.020
