,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,0.004,0.005,0.005,0.010,0.007,0.006,0.004
Continuum_2,0.003,0.004,0.004,0.008,0.005,0.005,0.003
Continuum_3,0.003,0.005,0.005,0.008,0.006,0.005,0.005
