,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7
Continuum_1,3.582,7.755,8.370,15.575,10.137,10.395,6.725
Continuum_2,4.361,8.523,9.007,13.928,12.721,11.338,7.316
Continuum_3,3.532,6.013,6.221,11.304,10.606,9.164,4.170
