,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e,1.3065,1.7729,3.0840,7.4627,0.3896,10.8136,3.6658
r_e,10.4711,6.1922,1.2811,4.3040,17.6840,4.7226,7.6357
n,2.8968,3.4545,1.9574,1.3834,1.8864,0.8278,1.0499
x_0,16.6783,41.5904,66.7697,72.4868,91.0756,64.2810,59.0878
