,Component 1,Component 2,Component 3,Component 4
I_e error,1.5685,9.8484,1.5352,13.7849
r_e error,2.8854,0.9442,1.4213,0.5622
n error,0.5833,1.0250,0.1460,0.6783
x_0 error,0.1061,0.0679,0.2450,0.1584
