,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,8.1709,0.0364,17.0786,7.1966,0.1987,4.4046
r_e,3.1306,877.3968,7.0924,2.5039,21.7586,3.1226
n,1.3818,2.1875,0.6622,1.4237,2.3793,2.8546
x_0,16.6566,38.6197,64.4251,72.7499,91.0202,41.6155
