,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7
I_e error,0.6136,3.7640,222.3910,5.2358,0.7026,19.6006,22.8972
r_e error,3.2671,8.0637,63.9796,3.2029,27.4494,21.6819,12.9383
n error,0.4067,3.3984,58.8810,0.3469,1.1861,1.7944,1.9859
x_0 error,0.0463,0.0002,0.5863,0.2455,0.2377,1.9838,1.1841
