,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,2.3223,0.6077,1.1112,4.5880,0.5974,6.7902
r_e error,0.5397,15897.6825,0.3301,1.0484,55.1088,2.8752
n error,0.2393,9.9094,0.0480,0.5341,2.0750,2.4740
x_0 error,0.0550,4.6743,0.2158,0.0885,0.2401,0.0379
