L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
3.24e+38,6.94e+37,3.48e+39,2.01e+39,nan,nan
2.62e+38,5.53e+37,2.8e+39,1.64e+39,nan,nan
6.57e+38,1.34e+38,7.14e+39,3.84e+39,nan,nan
5.78e+39,1.17e+39,6.56e+40,2.87e+40,nan,nan
4.54e+39,9.42e+38,5.13e+40,2.31e+40,nan,nan
