,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,3.884,14.626,14.096,4.212,3.342
Continuum_2,9.212,21.178,15.760,12.478,9.007
Continuum_3,9.626,32.184,19.060,11.808,6.895
