Component,I_e,I_e error,r_e,r_e error,n,n error,x_0,x_0 err
1,0.0442,0.0060,6.4405,0.7295,1.1106,0.1004,36.2716,0.0745
2,0.0010,0.0017,48.1810,82.1737,2.5210,1.5519,42.8282,0.2731
3,0.0044,0.0118,24.2523,53.2464,2.6900,2.2272,59.4644,0.0168
4,0.0043,0.0044,9.6441,12.3822,1.2049,0.7589,72.1545,0.4283
