Component,I_e,I_e error,r_e,r_e error,n,n error,x_0,x_0 err
1,0.0130,0.0056,12.6607,5.4776,1.9297,0.2928,36.3280,0.0500
2,0.0047,0.0075,16.5572,32.0152,1.7870,1.0597,42.6084,0.1646
3,0.0035,0.0136,29.8534,92.4872,3.2483,3.3198,59.7119,0.0009
4,0.0019,0.0012,37.1116,39.9894,1.8277,0.4384,72.5994,0.2900
