Component,I_e,I_e error,r_e,r_e error,n,n error,x_0,x_0 err
1,0.0263,0.0148,7.8410,3.2730,1.7731,0.5640,36.0203,0.0290
2,0.0035,0.0031,35.1690,23.9220,1.6726,0.4957,40.0690,0.4914
3,0.0078,0.0063,13.9961,9.4748,2.4075,0.5794,59.5455,0.0385
4,0.0005,0.0008,219.0441,365.2827,2.6633,1.0127,72.4570,0.3089
