Component,I_e,I_e error,r_e,r_e error,n,n error,x_0,x_0 err
1,0.0093,0.0035,11.6882,4.6722,1.5046,0.2572,36.4347,0.0981
2,0.0041,0.0020,20.0288,12.7723,1.3709,0.2838,42.8351,0.3694
3,0.0058,0.0130,15.6561,27.1358,2.4737,1.9666,59.7862,0.0164
4,0.0018,0.0009,33.7764,16.5567,1.7465,0.3181,72.8742,0.2567
