,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0995,0.1537,0.2223,0.0422,0.0851
r_e,1.4490,3.9280,10.4154,49.6891,1.3213
n,0.2423,0.1066,2.0787,1.4635,1.3311
x_0,14.9378,20.0246,33.4474,62.9571,71.4358
