,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0000,0.5494,0.6622,0.4130,0.7445
r_e error,0.0000,4.9998,134.0387,6.6036,11.1924
n error,0.0000,0.2894,2.1700,0.1951,0.5591
x_0 error,0.0000,0.8552,0.2358,0.3529,25.3448
