Name,Chi squared,Dof,Chi reduced
Halpha,576.9040220844311,100,5.76904022084431
Hbeta,218.8136577566321,100,2.188136577566321
NII,143.87816060417435,100,1.4387816060417435
SII,200.02415884882953,100,2.0002415884882954
OIII,319.377861120449,100,3.1937786112044897
