,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.1059,0.5880,1.2633,0.0529,0.3260
r_e,3.0000,3.0000,6.4600,50.0000,1.6121
n,1.3428,0.1768,1.9233,1.4501,0.1004
x_0,14.8894,20.3838,33.4950,62.9571,70.5149
