,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.8074,1251.6549,0.0210,0.0080,0.1088
r_e error,10.9400,15.1342,12.5332,4.6077,510.5625
n error,47.1228,15441.0802,0.7594,0.0885,213.0734
x_0 error,0.4070,5.8492,0.0024,0.4133,0.1735
