,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.0688,0.2097,0.0167,0.0074,0.2455
r_e error,2.8322,17.6723,6.7335,5.6140,0.4189
n error,1.9711,1.3654,0.3214,0.0912,1.6040
x_0 error,2.7281,1.9551,0.0914,0.3931,0.2810
