,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,0.0333,0.0484,0.0388,0.0527,0.1377
r_e,2.0229,3.4365,19.8967,50.0000,1.3916
n,0.2495,0.1000,2.2744,1.3018,0.2633
x_0,16.0182,19.2580,32.3726,61.7444,70.3690
