,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,7.6833,0.0830,0.6793,0.0070,0.4015
r_e,0.0225,2.9530,8.6865,425.2507,2.6085
n,204.8684,0.0329,2.3367,2.4875,1.0588
x_0,15.0672,19.3838,33.0144,61.5681,70.2791
