,Component 1,Component 2,Component 3,Component 4,Component 5
I_e,7.5738,1.2013,0.2921,2.1216,0.9285
r_e,0.0000,3.9780,26.7210,15.5070,45.8142
n,1.2255,0.1745,2.2169,0.9394,0.3519
x_0,15.9984,21.0000,34.1615,62.0000,71.0000
