,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.066,0.095,0.457,0.287
Continuum_2,0.055,0.081,0.419,0.259
Continuum_3,0.045,0.066,0.369,0.228
