,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,98.188,0.238,0.172,0.033,0.001
Green,1.786,88.511,61.826,20.292,4.069
Magenta,0.000,10.300,29.688,0.000,0.000
Orange,0.000,0.527,7.127,73.754,0.095
Chocolate,0.026,0.423,1.187,5.920,95.835
