,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,96.318,0.662,0.421,0.104,0.013
Green,3.516,87.645,56.208,17.230,4.669
Purple,0.000,10.927,41.690,0.032,0.000
Orange,0.000,0.000,0.015,66.499,0.001
Chocolate,0.167,0.766,1.666,16.136,95.317
