,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.660,0.952,1.111,0.372,0.100
Green,2.335,93.905,71.870,18.736,7.145
Magenta,0.000,3.713,14.998,0.000,0.000
Orange,0.000,1.087,10.818,76.030,0.716
Chocolate,0.006,0.343,1.203,4.862,92.039
