,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,98.225,0.679,0.198,0.024,0.002
Green,1.749,96.113,76.254,17.410,6.575
Purple,0.000,2.554,20.750,0.000,0.000
Orange,0.000,0.169,2.107,73.989,1.019
Chocolate,0.026,0.485,0.690,8.578,92.404
