,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,96.344,1.271,0.950,0.358,0.102
Green,3.616,88.637,62.626,17.514,5.493
Purple,0.000,9.496,34.937,0.018,0.000
Orange,0.000,0.000,0.047,66.836,0.005
Chocolate,0.040,0.595,1.440,15.274,94.400
