,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,98.102,0.285,0.183,0.035,0.001
Green,1.870,91.493,66.826,20.729,4.027
Magenta,0.000,7.451,27.048,0.007,0.000
Orange,0.000,0.368,4.939,73.192,0.061
Chocolate,0.028,0.403,1.004,6.037,95.912
