,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.741,1.999,0.973,0.332,0.163
Green,2.254,97.066,88.275,16.814,10.757
Purple,0.000,0.162,7.864,0.000,0.000
Orange,0.000,0.431,2.382,76.719,3.421
Chocolate,0.005,0.341,0.507,6.135,85.659
