,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.326,0.915,0.613,0.280,0.022
Green,0.000,53.752,10.524,0.000,0.000
Purple,0.642,45.007,88.230,59.632,3.570
Orange,0.000,0.000,0.000,28.003,0.000
Chocolate,0.032,0.326,0.632,12.085,96.409
