,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,98.164,0.706,0.204,0.025,0.003
Green,1.809,93.986,77.680,18.047,7.631
Purple,0.000,4.568,18.964,0.000,0.000
Orange,0.000,0.256,2.463,73.040,1.993
Chocolate,0.027,0.484,0.689,8.888,90.374
