,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,96.499,1.207,0.959,0.380,0.099
Green,3.462,89.436,66.234,18.631,5.302
Purple,0.000,8.791,31.565,0.047,0.000
Orange,0.000,0.000,0.011,67.209,0.001
Chocolate,0.039,0.566,1.231,13.733,94.598
