,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,99.313,1.124,0.594,0.274,0.028
Green,0.000,44.366,10.451,0.000,0.000
Purple,0.653,54.117,88.231,58.247,4.777
Orange,0.000,0.000,0.000,26.860,0.000
Chocolate,0.034,0.392,0.724,14.619,95.195
