,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,98.286,0.678,0.204,0.026,0.002
Green,1.689,97.123,80.659,18.028,6.552
Purple,0.000,1.568,17.268,0.000,0.000
Orange,0.000,0.140,1.301,74.480,0.861
Chocolate,0.025,0.491,0.568,7.466,92.586
