,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,97.495,2.028,1.005,0.334,0.184
Green,2.499,95.724,85.736,17.006,11.846
Purple,0.000,1.294,8.683,0.000,0.000
Orange,0.000,0.607,3.944,75.298,5.756
Chocolate,0.005,0.347,0.631,7.362,82.214
