,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,96.372,0.761,0.421,0.109,0.016
Green,3.461,85.256,58.482,17.820,5.278
Purple,0.000,13.122,39.392,0.166,0.000
Orange,0.000,0.000,0.065,65.216,0.013
Chocolate,0.167,0.860,1.641,16.689,94.693
